"Latest: Time (s)","Latest: Temperature (°C)","Latest: dT/dt"
1378,36.7314459029,-0.00680820019028
1380,36.723811241,-0.00576822178889
1382,36.7115969102,-0.00593719897083
1384,36.6978574457,-0.00517335316806
1386,36.6917515798,-0.00474884299861
1388,36.6780146464,-0.00400656246944
1390,36.6749622322,-0.00313712178611
1392,36.6703837728,-0.00449329729583
1394,36.6566495595,-0.005849260375
1396,36.6459686004,-0.00678098393056
1398,36.6291863668,-0.00726758102361
1400,36.6139320472,-0.00633459895278
1402,36.6032553003,-0.00508408603333
1404,36.5956296955,-0.00457521315556
1406,36.5849547481,-0.00419362247222
1408,36.5773304274,-0.00334617806528
1410,36.5742808488,-0.00374823177361
1412,36.5636079966,-0.00474317459722
1414,36.55446067,-0.005377953
1416,36.5407411193,-0.00539867649444
1418,36.5315957106,-0.00480540613472
1420,36.5239751217,-0.0052282492
1422,36.5102594005,-0.00546061228333
1424,36.5011165418,-0.00516382430833
1426,36.488927251,-0.00438047573333
1428,36.4813096328,-0.00268737885833
1430,36.4797861726,-0.00186198164028
1432,36.4782627336,-0.00298320929583
1434,36.4675992529,-0.00410437894444
1436,36.4584599508,-0.00385026242778
1438,36.452367505,-0.00355382395139
1440,36.4462753968,-0.00406119030556
1442,36.4356150193,-0.00444161606667
1444,36.4280010959,-0.0045047154125
1446,36.4173424869,-0.00433522783333
1448,36.4082073564,-0.00317191955
1450,36.4066849081,-0.00289679355
1452,36.3990729819,-0.0035943578375
1454,36.3899393629,-0.003277058775
1456,36.3838507028,-0.00215642492361
1458,36.3823285902,-0.00158548778194
1460,36.3823285902,-0.00321305178472
1462,36.370152443,-0.00522093952361
1464,36.3579776347,-0.00566437310833
1466,36.3458041635,-0.00511442767361
1468,36.3366749367,-0.00405739260833
1470,36.3305892024,-0.00344428473194
1472,36.3245038015,-0.00346518616806
1474,36.3153763247,-0.00297908059583
1476,36.3108128672,-0.00185920087917
1478,36.3108128672,-0.00198584377222
1480,36.3047285481,-0.00293639525694
1482,36.2971236168,-0.00316862970833
1484,36.2910400455,-0.00297834645139
1486,36.2864775849,-0.00325273103194
1488,36.2788738985,-0.0038650251375
1490,36.2697501586,-0.00399149610139
1492,36.2621476114,-0.003906710725
1494,36.2560659459,-0.00466649495278
1496,36.2454238271,-0.00614402963889
1498,36.2287025412,-0.00635463298611
1500,36.2165431728,-0.00504524446389
1502,36.2104639827,-0.0043903938125
1504,36.2013458147,-0.00476990906667
1506,36.1891894082,-0.00443188649028
1508,36.1846310945,-0.00457917533056
1510,36.1724764938,-0.00533841514305
1512,36.161842294,-0.00544343423055
1514,36.1496901506,-0.00504215649722
1516,36.1405769017,-0.00411355862222
1518,36.1345018108,-0.00367027395833
1520,36.1269084064,-0.00371221017639
1522,36.117796994,-0.00320579810556
1524,36.1162784965,-0.00375382118611
